FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.1,9054,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.527049927997526 55.6518837919678))
affaldskurv.2,9053,1064,Carl Jacobsens Vej,0,Valby,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.524302871076952 55.65259252585587))
affaldskurv.3,9052,1064,Carl Jacobsens Vej,0,Valby,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.523916813278833 55.6529067635487))
affaldskurv.4,9529,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T15:12:23,2014-09-09T09:53:27,MULTIPOINT ((12.51268568005836 55.65557233540341))
affaldskurv.5,9528,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T15:10:14,2014-09-09T09:53:27,MULTIPOINT ((12.52083426057354 55.65289790730584))
affaldskurv.6,9527,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T15:09:38,2014-09-09T09:53:27,MULTIPOINT ((12.520766433527646 55.653011647083744))
affaldskurv.7,9943,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2012-09-05T12:57:10,2014-09-09T09:53:27,MULTIPOINT ((12.527150284494477 55.652111554177836))
affaldskurv.8,6457,1064,Carl Jacobsens Vej,,Valby,2,Richard Müller T5,Grøn,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-16T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.526770631943098 55.65178136314618))
affaldskurv.9,9864,1099,Charlotte Ammundsens Plads,0,Indre By,,Pizzakurv,Grå (metal),Ikke registreret,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,Maxi kurv,2012-07-05T14:42:10,2014-09-09T09:53:27,MULTIPOINT ((12.56435767087144 55.68357761130885))
affaldskurv.10,7890,1132,Christians Brygge,0,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,rute 3 grøn,2005-12-06T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.578126090847965 55.67175704840154))
